Date,btc_krw,etc_krw,usdkrw,nvda
2025-10-05,18.937914411239156,10.210524526364086,7.246884192670867,5.227893609438048
2025-10-12,18.943471452141516,10.127656826126865,7.254815222774228,5.231288430019495
2025-10-19,18.867945121771182,10.041499740061964,7.2612657842077395,5.207275788256078
2025-10-26,18.881387655057747,10.035735167553204,7.263523968457912,5.2065777387464625
2025-11-02,18.87957593889029,10.039660562075799,7.264295719459669,5.3028014602260445
2025-11-09,18.823264393313384,10.018623994647623,7.270102351283414,5.2743037387357194
2025-11-16,18.788743171517133,10.013494680835876,7.287095066828508,5.260326155000987
2025-11-23,18.681565353798874,9.921284910770735,7.2867410088092,5.208132405809465
2025-11-30,18.698716532273984,9.92697087018806,7.291583129878555,5.189476673688626
2025-12-07,18.70515133345216,9.892158490313657,7.291730712673077,5.200320783417267
2025-12-14,18.712323838955406,9.882801379667058,7.292764108295396,5.2039994490288946
2025-12-21,18.672567652067155,9.799347546799178,7.29444244668485,5.170336612129676
2025-12-28,18.66355574396621,9.76813157346275,7.292254827365493,5.236345405661083
2026-01-04,18.67091378719826,9.771345295566846,7.271977125270406,5.235192864193042
2026-01-11,18.706430653411513,9.830064105329543,7.276169572100075,5.230340059705135
2026-01-18,18.752326922661137,9.83829787586215,7.2895912774199205,5.222618950473449
2026-01-25,18.6855086271683,9.735881570322146,7.292871177639204,5.211842290240303
2026-02-01,18.615060252827295,9.643642381722412,7.2690953243917615,5.247059615790944
2026-02-08,18.461259876021224,9.480493018346058,7.283266765000858,5.189546762811318
2026-02-15,18.411384241640786,9.417115615515643,7.280868089963397,5.234559277721006
2026-02-22,18.396917098307995,9.431993443365583,7.273455214347136,5.234574732064002
2026-03-01,18.36970286383454,9.42619294388666,7.270286430530405,5.2379283820508515
2026-03-08,18.436556746839493,9.429363382490127,7.288056070054147,5.2002846801495854
2026-03-15,18.467880085584422,9.420742797577264,7.295326779132881,5.211415785419529
2026-03-22,18.48222413205961,9.449334016654621,7.3092813500695994,5.189193357499417
2026-03-29,18.450605458463368,9.431911277558322,7.312701215605786,5.15682598895544
